Division,Place,Season,Crop,Variety
Udupi,Udupi,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Manipal,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Korangrapady,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Tonse East,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Tenkanidyoor,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Varamballi,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Saligrama,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Moodubelle,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Shirva,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Cherkady,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Perdoor,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Hiriyadka,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Hanjady,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Badagabettu,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Alevor,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Mooduthonse,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Udyavara,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Yenagudde,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Puttur,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Kudi,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Kurkalu,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Yerlapady,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Ninjoor,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Mallar,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Padubidri,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Hejamadi,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Bada,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Tenka Hanjady,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Shiriyara,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Kidiyur,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Kallianpur,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Herga,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Udupi,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Manipal,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Korangrapady,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Tonse East,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Tenkanidyoor,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Varamballi,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Saligrama,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Moodubelle,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Shirva,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Cherkady,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Perdoor,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Hiriyadka,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Hanjady,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Badagabettu,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Alevor,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Mooduthonse,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Udyavara,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Yenagudde,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Puttur,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Kudi,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Kurkalu,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Yerlapady,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Ninjoor,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Mallar,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Padubidri,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Hejamadi,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Bada,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Tenka Hanjady,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Shiriyara,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Kidiyur,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Kallianpur,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Herga,Kharif,Paddy,MO-4 (Bhadra)
Udupi,Udupi,Kharif,Paddy,Mahaveer
Udupi,Manipal,Kharif,Paddy,Mahaveer
Udupi,Korangrapady,Kharif,Paddy,Mahaveer
Udupi,Tonse East,Kharif,Paddy,Mahaveer
Udupi,Tenkanidyoor,Kharif,Paddy,Mahaveer
Udupi,Varamballi,Kharif,Paddy,Mahaveer
Udupi,Saligrama,Kharif,Paddy,Mahaveer
Udupi,Moodubelle,Kharif,Paddy,Mahaveer
Udupi,Shirva,Kharif,Paddy,Mahaveer
Udupi,Cherkady,Kharif,Paddy,Mahaveer
Udupi,Perdoor,Kharif,Paddy,Mahaveer
Udupi,Hiriyadka,Kharif,Paddy,Mahaveer
Udupi,Hanjady,Kharif,Paddy,Mahaveer
Udupi,Badagabettu,Kharif,Paddy,Mahaveer
Udupi,Alevor,Kharif,Paddy,Mahaveer
Udupi,Mooduthonse,Kharif,Paddy,Mahaveer
Udupi,Udyavara,Kharif,Paddy,Mahaveer
Udupi,Yenagudde,Kharif,Paddy,Mahaveer
Udupi,Puttur,Kharif,Paddy,Mahaveer
Udupi,Kudi,Kharif,Paddy,Mahaveer
Udupi,Kurkalu,Kharif,Paddy,Mahaveer
Udupi,Yerlapady,Kharif,Paddy,Mahaveer
Udupi,Ninjoor,Kharif,Paddy,Mahaveer
Udupi,Mallar,Kharif,Paddy,Mahaveer
Udupi,Padubidri,Kharif,Paddy,Mahaveer
Udupi,Hejamadi,Kharif,Paddy,Mahaveer
Udupi,Bada,Kharif,Paddy,Mahaveer
Udupi,Tenka Hanjady,Kharif,Paddy,Mahaveer
Udupi,Shiriyara,Kharif,Paddy,Mahaveer
Udupi,Kidiyur,Kharif,Paddy,Mahaveer
Udupi,Kallianpur,Kharif,Paddy,Mahaveer
Udupi,Herga,Kharif,Paddy,Mahaveer
Udupi,Udupi,Kharif,Paddy,Jaya
Udupi,Manipal,Kharif,Paddy,Jaya
Udupi,Korangrapady,Kharif,Paddy,Jaya
Udupi,Tonse East,Kharif,Paddy,Jaya
Udupi,Tenkanidyoor,Kharif,Paddy,Jaya
Udupi,Varamballi,Kharif,Paddy,Jaya
Udupi,Saligrama,Kharif,Paddy,Jaya
Udupi,Moodubelle,Kharif,Paddy,Jaya
Udupi,Shirva,Kharif,Paddy,Jaya
Udupi,Cherkady,Kharif,Paddy,Jaya
Udupi,Perdoor,Kharif,Paddy,Jaya
Udupi,Hiriyadka,Kharif,Paddy,Jaya
Udupi,Hanjady,Kharif,Paddy,Jaya
Udupi,Badagabettu,Kharif,Paddy,Jaya
Udupi,Alevor,Kharif,Paddy,Jaya
Udupi,Mooduthonse,Kharif,Paddy,Jaya
Udupi,Udyavara,Kharif,Paddy,Jaya
Udupi,Yenagudde,Kharif,Paddy,Jaya
Udupi,Puttur,Kharif,Paddy,Jaya
Udupi,Kudi,Kharif,Paddy,Jaya
Udupi,Kurkalu,Kharif,Paddy,Jaya
Udupi,Yerlapady,Kharif,Paddy,Jaya
Udupi,Ninjoor,Kharif,Paddy,Jaya
Udupi,Mallar,Kharif,Paddy,Jaya
Udupi,Padubidri,Kharif,Paddy,Jaya
Udupi,Hejamadi,Kharif,Paddy,Jaya
Udupi,Bada,Kharif,Paddy,Jaya
Udupi,Tenka Hanjady,Kharif,Paddy,Jaya
Udupi,Shiriyara,Kharif,Paddy,Jaya
Udupi,Kidiyur,Kharif,Paddy,Jaya
Udupi,Kallianpur,Kharif,Paddy,Jaya
Udupi,Herga,Kharif,Paddy,Jaya
Udupi,Udupi,Kharif,Paddy,Matta
Udupi,Manipal,Kharif,Paddy,Matta
Udupi,Korangrapady,Kharif,Paddy,Matta
Udupi,Tonse East,Kharif,Paddy,Matta
Udupi,Tenkanidyoor,Kharif,Paddy,Matta
Udupi,Varamballi,Kharif,Paddy,Matta
Udupi,Saligrama,Kharif,Paddy,Matta
Udupi,Moodubelle,Kharif,Paddy,Matta
Udupi,Shirva,Kharif,Paddy,Matta
Udupi,Cherkady,Kharif,Paddy,Matta
Udupi,Perdoor,Kharif,Paddy,Matta
Udupi,Hiriyadka,Kharif,Paddy,Matta
Udupi,Hanjady,Kharif,Paddy,Matta
Udupi,Badagabettu,Kharif,Paddy,Matta
Udupi,Alevor,Kharif,Paddy,Matta
Udupi,Mooduthonse,Kharif,Paddy,Matta
Udupi,Udyavara,Kharif,Paddy,Matta
Udupi,Yenagudde,Kharif,Paddy,Matta
Udupi,Puttur,Kharif,Paddy,Matta
Udupi,Kudi,Kharif,Paddy,Matta
Udupi,Kurkalu,Kharif,Paddy,Matta
Udupi,Yerlapady,Kharif,Paddy,Matta
Udupi,Ninjoor,Kharif,Paddy,Matta
Udupi,Mallar,Kharif,Paddy,Matta
Udupi,Padubidri,Kharif,Paddy,Matta
Udupi,Hejamadi,Kharif,Paddy,Matta
Udupi,Bada,Kharif,Paddy,Matta
Udupi,Tenka Hanjady,Kharif,Paddy,Matta
Udupi,Shiriyara,Kharif,Paddy,Matta
Udupi,Kidiyur,Kharif,Paddy,Matta
Udupi,Kallianpur,Kharif,Paddy,Matta
Udupi,Herga,Kharif,Paddy,Matta
Udupi,Udupi,Rabi,Paddy,Edasuggi
Udupi,Manipal,Rabi,Paddy,Edasuggi
Udupi,Korangrapady,Rabi,Paddy,Edasuggi
Udupi,Tonse East,Rabi,Paddy,Edasuggi
Udupi,Tenkanidyoor,Rabi,Paddy,Edasuggi
Udupi,Varamballi,Rabi,Paddy,Edasuggi
Udupi,Saligrama,Rabi,Paddy,Edasuggi
Udupi,Moodubelle,Rabi,Paddy,Edasuggi
Udupi,Shirva,Rabi,Paddy,Edasuggi
Udupi,Cherkady,Rabi,Paddy,Edasuggi
Udupi,Perdoor,Rabi,Paddy,Edasuggi
Udupi,Hiriyadka,Rabi,Paddy,Edasuggi
Udupi,Hanjady,Rabi,Paddy,Edasuggi
Udupi,Badagabettu,Rabi,Paddy,Edasuggi
Udupi,Alevor,Rabi,Paddy,Edasuggi
Udupi,Mooduthonse,Rabi,Paddy,Edasuggi
Udupi,Udyavara,Rabi,Paddy,Edasuggi
Udupi,Yenagudde,Rabi,Paddy,Edasuggi
Udupi,Puttur,Rabi,Paddy,Edasuggi
Udupi,Kudi,Rabi,Paddy,Edasuggi
Udupi,Kurkalu,Rabi,Paddy,Edasuggi
Udupi,Yerlapady,Rabi,Paddy,Edasuggi
Udupi,Ninjoor,Rabi,Paddy,Edasuggi
Udupi,Mallar,Rabi,Paddy,Edasuggi
Udupi,Padubidri,Rabi,Paddy,Edasuggi
Udupi,Hejamadi,Rabi,Paddy,Edasuggi
Udupi,Bada,Rabi,Paddy,Edasuggi
Udupi,Tenka Hanjady,Rabi,Paddy,Edasuggi
Udupi,Shiriyara,Rabi,Paddy,Edasuggi
Udupi,Kidiyur,Rabi,Paddy,Edasuggi
Udupi,Kallianpur,Rabi,Paddy,Edasuggi
Udupi,Herga,Rabi,Paddy,Edasuggi
Udupi,Udupi,Rabi,Paddy,Suggi
Udupi,Manipal,Rabi,Paddy,Suggi
Udupi,Korangrapady,Rabi,Paddy,Suggi
Udupi,Tonse East,Rabi,Paddy,Suggi
Udupi,Tenkanidyoor,Rabi,Paddy,Suggi
Udupi,Varamballi,Rabi,Paddy,Suggi
Udupi,Saligrama,Rabi,Paddy,Suggi
Udupi,Moodubelle,Rabi,Paddy,Suggi
Udupi,Shirva,Rabi,Paddy,Suggi
Udupi,Cherkady,Rabi,Paddy,Suggi
Udupi,Perdoor,Rabi,Paddy,Suggi
Udupi,Hiriyadka,Rabi,Paddy,Suggi
Udupi,Hanjady,Rabi,Paddy,Suggi
Udupi,Badagabettu,Rabi,Paddy,Suggi
Udupi,Alevor,Rabi,Paddy,Suggi
Udupi,Mooduthonse,Rabi,Paddy,Suggi
Udupi,Udyavara,Rabi,Paddy,Suggi
Udupi,Yenagudde,Rabi,Paddy,Suggi
Udupi,Puttur,Rabi,Paddy,Suggi
Udupi,Kudi,Rabi,Paddy,Suggi
Udupi,Kurkalu,Rabi,Paddy,Suggi
Udupi,Yerlapady,Rabi,Paddy,Suggi
Udupi,Ninjoor,Rabi,Paddy,Suggi
Udupi,Mallar,Rabi,Paddy,Suggi
Udupi,Padubidri,Rabi,Paddy,Suggi
Udupi,Hejamadi,Rabi,Paddy,Suggi
Udupi,Bada,Rabi,Paddy,Suggi
Udupi,Tenka Hanjady,Rabi,Paddy,Suggi
Udupi,Shiriyara,Rabi,Paddy,Suggi
Udupi,Kidiyur,Rabi,Paddy,Suggi
Udupi,Kallianpur,Rabi,Paddy,Suggi
Udupi,Herga,Rabi,Paddy,Suggi
Udupi,Udupi,Rabi,Paddy,Jyoti
Udupi,Manipal,Rabi,Paddy,Jyoti
Udupi,Korangrapady,Rabi,Paddy,Jyoti
Udupi,Tonse East,Rabi,Paddy,Jyoti
Udupi,Tenkanidyoor,Rabi,Paddy,Jyoti
Udupi,Varamballi,Rabi,Paddy,Jyoti
Udupi,Saligrama,Rabi,Paddy,Jyoti
Udupi,Moodubelle,Rabi,Paddy,Jyoti
Udupi,Shirva,Rabi,Paddy,Jyoti
Udupi,Cherkady,Rabi,Paddy,Jyoti
Udupi,Perdoor,Rabi,Paddy,Jyoti
Udupi,Hiriyadka,Rabi,Paddy,Jyoti
Udupi,Hanjady,Rabi,Paddy,Jyoti
Udupi,Badagabettu,Rabi,Paddy,Jyoti
Udupi,Alevor,Rabi,Paddy,Jyoti
Udupi,Mooduthonse,Rabi,Paddy,Jyoti
Udupi,Udyavara,Rabi,Paddy,Jyoti
Udupi,Yenagudde,Rabi,Paddy,Jyoti
Udupi,Puttur,Rabi,Paddy,Jyoti
Udupi,Kudi,Rabi,Paddy,Jyoti
Udupi,Kurkalu,Rabi,Paddy,Jyoti
Udupi,Yerlapady,Rabi,Paddy,Jyoti
Udupi,Ninjoor,Rabi,Paddy,Jyoti
Udupi,Mallar,Rabi,Paddy,Jyoti
Udupi,Padubidri,Rabi,Paddy,Jyoti
Udupi,Hejamadi,Rabi,Paddy,Jyoti
Udupi,Bada,Rabi,Paddy,Jyoti
Udupi,Tenka Hanjady,Rabi,Paddy,Jyoti
Udupi,Shiriyara,Rabi,Paddy,Jyoti
Udupi,Kidiyur,Rabi,Paddy,Jyoti
Udupi,Kallianpur,Rabi,Paddy,Jyoti
Udupi,Herga,Rabi,Paddy,Jyoti
Udupi,Udupi,Rabi,Groundnut,TMV-2
Udupi,Manipal,Rabi,Groundnut,TMV-2
Udupi,Korangrapady,Rabi,Groundnut,TMV-2
Udupi,Tonse East,Rabi,Groundnut,TMV-2
Udupi,Tenkanidyoor,Rabi,Groundnut,TMV-2
Udupi,Varamballi,Rabi,Groundnut,TMV-2
Udupi,Saligrama,Rabi,Groundnut,TMV-2
Udupi,Moodubelle,Rabi,Groundnut,TMV-2
Udupi,Shirva,Rabi,Groundnut,TMV-2
Udupi,Cherkady,Rabi,Groundnut,TMV-2
Udupi,Perdoor,Rabi,Groundnut,TMV-2
Udupi,Hiriyadka,Rabi,Groundnut,TMV-2
Udupi,Hanjady,Rabi,Groundnut,TMV-2
Udupi,Badagabettu,Rabi,Groundnut,TMV-2
Udupi,Alevor,Rabi,Groundnut,TMV-2
Udupi,Mooduthonse,Rabi,Groundnut,TMV-2
Udupi,Udyavara,Rabi,Groundnut,TMV-2
Udupi,Yenagudde,Rabi,Groundnut,TMV-2
Udupi,Puttur,Rabi,Groundnut,TMV-2
Udupi,Kudi,Rabi,Groundnut,TMV-2
Udupi,Kurkalu,Rabi,Groundnut,TMV-2
Udupi,Yerlapady,Rabi,Groundnut,TMV-2
Udupi,Ninjoor,Rabi,Groundnut,TMV-2
Udupi,Mallar,Rabi,Groundnut,TMV-2
Udupi,Padubidri,Rabi,Groundnut,TMV-2
Udupi,Hejamadi,Rabi,Groundnut,TMV-2
Udupi,Bada,Rabi,Groundnut,TMV-2
Udupi,Tenka Hanjady,Rabi,Groundnut,TMV-2
Udupi,Shiriyara,Rabi,Groundnut,TMV-2
Udupi,Kidiyur,Rabi,Groundnut,TMV-2
Udupi,Kallianpur,Rabi,Groundnut,TMV-2
Udupi,Herga,Rabi,Groundnut,TMV-2
Udupi,Udupi,Rabi,Groundnut,DH 3-30
Udupi,Manipal,Rabi,Groundnut,DH 3-30
Udupi,Korangrapady,Rabi,Groundnut,DH 3-30
Udupi,Tonse East,Rabi,Groundnut,DH 3-30
Udupi,Tenkanidyoor,Rabi,Groundnut,DH 3-30
Udupi,Varamballi,Rabi,Groundnut,DH 3-30
Udupi,Saligrama,Rabi,Groundnut,DH 3-30
Udupi,Moodubelle,Rabi,Groundnut,DH 3-30
Udupi,Shirva,Rabi,Groundnut,DH 3-30
Udupi,Cherkady,Rabi,Groundnut,DH 3-30
Udupi,Perdoor,Rabi,Groundnut,DH 3-30
Udupi,Hiriyadka,Rabi,Groundnut,DH 3-30
Udupi,Hanjady,Rabi,Groundnut,DH 3-30
Udupi,Badagabettu,Rabi,Groundnut,DH 3-30
Udupi,Alevor,Rabi,Groundnut,DH 3-30
Udupi,Mooduthonse,Rabi,Groundnut,DH 3-30
Udupi,Udyavara,Rabi,Groundnut,DH 3-30
Udupi,Yenagudde,Rabi,Groundnut,DH 3-30
Udupi,Puttur,Rabi,Groundnut,DH 3-30
Udupi,Kudi,Rabi,Groundnut,DH 3-30
Udupi,Kurkalu,Rabi,Groundnut,DH 3-30
Udupi,Yerlapady,Rabi,Groundnut,DH 3-30
Udupi,Ninjoor,Rabi,Groundnut,DH 3-30
Udupi,Mallar,Rabi,Groundnut,DH 3-30
Udupi,Padubidri,Rabi,Groundnut,DH 3-30
Udupi,Hejamadi,Rabi,Groundnut,DH 3-30
Udupi,Bada,Rabi,Groundnut,DH 3-30
Udupi,Tenka Hanjady,Rabi,Groundnut,DH 3-30
Udupi,Shiriyara,Rabi,Groundnut,DH 3-30
Udupi,Kidiyur,Rabi,Groundnut,DH 3-30
Udupi,Kallianpur,Rabi,Groundnut,DH 3-30
Udupi,Herga,Rabi,Groundnut,DH 3-30
Udupi,Udupi,Rabi,Groundnut,DH-40
Udupi,Manipal,Rabi,Groundnut,DH-40
Udupi,Korangrapady,Rabi,Groundnut,DH-40
Udupi,Tonse East,Rabi,Groundnut,DH-40
Udupi,Tenkanidyoor,Rabi,Groundnut,DH-40
Udupi,Varamballi,Rabi,Groundnut,DH-40
Udupi,Saligrama,Rabi,Groundnut,DH-40
Udupi,Moodubelle,Rabi,Groundnut,DH-40
Udupi,Shirva,Rabi,Groundnut,DH-40
Udupi,Cherkady,Rabi,Groundnut,DH-40
Udupi,Perdoor,Rabi,Groundnut,DH-40
Udupi,Hiriyadka,Rabi,Groundnut,DH-40
Udupi,Hanjady,Rabi,Groundnut,DH-40
Udupi,Badagabettu,Rabi,Groundnut,DH-40
Udupi,Alevor,Rabi,Groundnut,DH-40
Udupi,Mooduthonse,Rabi,Groundnut,DH-40
Udupi,Udyavara,Rabi,Groundnut,DH-40
Udupi,Yenagudde,Rabi,Groundnut,DH-40
Udupi,Puttur,Rabi,Groundnut,DH-40
Udupi,Kudi,Rabi,Groundnut,DH-40
Udupi,Kurkalu,Rabi,Groundnut,DH-40
Udupi,Yerlapady,Rabi,Groundnut,DH-40
Udupi,Ninjoor,Rabi,Groundnut,DH-40
Udupi,Mallar,Rabi,Groundnut,DH-40
Udupi,Padubidri,Rabi,Groundnut,DH-40
Udupi,Hejamadi,Rabi,Groundnut,DH-40
Udupi,Bada,Rabi,Groundnut,DH-40
Udupi,Tenka Hanjady,Rabi,Groundnut,DH-40
Udupi,Shiriyara,Rabi,Groundnut,DH-40
Udupi,Kidiyur,Rabi,Groundnut,DH-40
Udupi,Kallianpur,Rabi,Groundnut,DH-40
Udupi,Herga,Rabi,Groundnut,DH-40
Udupi,Udupi,Rabi,Black gram,LBG-17
Udupi,Manipal,Rabi,Black gram,LBG-17
Udupi,Korangrapady,Rabi,Black gram,LBG-17
Udupi,Tonse East,Rabi,Black gram,LBG-17
Udupi,Tenkanidyoor,Rabi,Black gram,LBG-17
Udupi,Varamballi,Rabi,Black gram,LBG-17
Udupi,Saligrama,Rabi,Black gram,LBG-17
Udupi,Moodubelle,Rabi,Black gram,LBG-17
Udupi,Shirva,Rabi,Black gram,LBG-17
Udupi,Cherkady,Rabi,Black gram,LBG-17
Udupi,Perdoor,Rabi,Black gram,LBG-17
Udupi,Hiriyadka,Rabi,Black gram,LBG-17
Udupi,Hanjady,Rabi,Black gram,LBG-17
Udupi,Badagabettu,Rabi,Black gram,LBG-17
Udupi,Alevor,Rabi,Black gram,LBG-17
Udupi,Mooduthonse,Rabi,Black gram,LBG-17
Udupi,Udyavara,Rabi,Black gram,LBG-17
Udupi,Yenagudde,Rabi,Black gram,LBG-17
Udupi,Puttur,Rabi,Black gram,LBG-17
Udupi,Kudi,Rabi,Black gram,LBG-17
Udupi,Kurkalu,Rabi,Black gram,LBG-17
Udupi,Yerlapady,Rabi,Black gram,LBG-17
Udupi,Ninjoor,Rabi,Black gram,LBG-17
Udupi,Mallar,Rabi,Black gram,LBG-17
Udupi,Padubidri,Rabi,Black gram,LBG-17
Udupi,Hejamadi,Rabi,Black gram,LBG-17
Udupi,Bada,Rabi,Black gram,LBG-17
Udupi,Tenka Hanjady,Rabi,Black gram,LBG-17
Udupi,Shiriyara,Rabi,Black gram,LBG-17
Udupi,Kidiyur,Rabi,Black gram,LBG-17
Udupi,Kallianpur,Rabi,Black gram,LBG-17
Udupi,Herga,Rabi,Black gram,LBG-17
Udupi,Udupi,Rabi,Green gram,Pusa Vishal
Udupi,Manipal,Rabi,Green gram,Pusa Vishal
Udupi,Korangrapady,Rabi,Green gram,Pusa Vishal
Udupi,Tonse East,Rabi,Green gram,Pusa Vishal
Udupi,Tenkanidyoor,Rabi,Green gram,Pusa Vishal
Udupi,Varamballi,Rabi,Green gram,Pusa Vishal
Udupi,Saligrama,Rabi,Green gram,Pusa Vishal
Udupi,Moodubelle,Rabi,Green gram,Pusa Vishal
Udupi,Shirva,Rabi,Green gram,Pusa Vishal
Udupi,Cherkady,Rabi,Green gram,Pusa Vishal
Udupi,Perdoor,Rabi,Green gram,Pusa Vishal
Udupi,Hiriyadka,Rabi,Green gram,Pusa Vishal
Udupi,Hanjady,Rabi,Green gram,Pusa Vishal
Udupi,Badagabettu,Rabi,Green gram,Pusa Vishal
Udupi,Alevor,Rabi,Green gram,Pusa Vishal
Udupi,Mooduthonse,Rabi,Green gram,Pusa Vishal
Udupi,Udyavara,Rabi,Green gram,Pusa Vishal
Udupi,Yenagudde,Rabi,Green gram,Pusa Vishal
Udupi,Puttur,Rabi,Green gram,Pusa Vishal
Udupi,Kudi,Rabi,Green gram,Pusa Vishal
Udupi,Kurkalu,Rabi,Green gram,Pusa Vishal
Udupi,Yerlapady,Rabi,Green gram,Pusa Vishal
Udupi,Ninjoor,Rabi,Green gram,Pusa Vishal
Udupi,Mallar,Rabi,Green gram,Pusa Vishal
Udupi,Padubidri,Rabi,Green gram,Pusa Vishal
Udupi,Hejamadi,Rabi,Green gram,Pusa Vishal
Udupi,Bada,Rabi,Green gram,Pusa Vishal
Udupi,Tenka Hanjady,Rabi,Green gram,Pusa Vishal
Udupi,Shiriyara,Rabi,Green gram,Pusa Vishal
Udupi,Kidiyur,Rabi,Green gram,Pusa Vishal
Udupi,Kallianpur,Rabi,Green gram,Pusa Vishal
Udupi,Herga,Rabi,Green gram,Pusa Vishal
Udupi,Udupi,Rabi,Cowpea,DC-15
Udupi,Manipal,Rabi,Cowpea,DC-15
Udupi,Korangrapady,Rabi,Cowpea,DC-15
Udupi,Tonse East,Rabi,Cowpea,DC-15
Udupi,Tenkanidyoor,Rabi,Cowpea,DC-15
